"","X1","X2","X3","X4","X5"
"234","222","9","Joe MontanaWalter Payton","Deborah Harry","January 24, 1987 (1987-01-24)"
"235","223","10","Paul Shaffer","Bruce Hornsby & the Range","January 31, 1987 (1987-01-31)"
"236","224","11","Bronson Pinchot","Paul Young","February 14, 1987 (1987-02-14)"
"237","225","12","Willie Nelson","Willie Nelson","February 21, 1987 (1987-02-21)"
"238","226","13","Valerie Bertinelli","Robert Cray Band","February 28, 1987 (1987-02-28)"
"239","227","14","Bill Murray","Percy Sledge","March 21, 1987 (1987-03-21)"
"240","228","15","Charlton Heston","Wynton Marsalis","March 28, 1987 (1987-03-28)"
"241","229","16","John Lithgow","Anita Baker","April 11, 1987 (1987-04-11)"
"242","230","17","John Larroquette","Timbuk 3","April 18, 1987 (1987-04-18)"
"243","231","18","Mark Harmon","Suzanne Vega","May 9, 1987 (1987-05-09)"
"244","232","19","Garry Shandling","Los Lobos","May 16, 1987 (1987-05-16)"
"245","233","20","Dennis Hopper","Roy Orbison","May 23, 1987 (1987-05-23)"
"246","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"247","234","1","Steve Martin","Sting","October 17, 1987 (1987-10-17)"
"248","235","2","Sean Penn","LL Cool J & Michael Penn","October 24, 1987 (1987-10-24)"
"249","236","3","Dabney Coleman","The Cars","October 31, 1987 (1987-10-31)"
"250","237","4","Robert Mitchum","Simply Red","November 14, 1987 (1987-11-14)"
"251","238","5","Candice Bergen","Cher","November 21, 1987 (1987-11-21)"
"252","239","6","Danny DeVito","Bryan Ferry","December 5, 1987 (1987-12-05)"
"253","240","7","Angie Dickinson","Buster PoindexterDavid Gilmour","December 12, 1987 (1987-12-12)"
"254","241","8","Paul Simon","Linda Ronstadt","December 19, 1987 (1987-12-19)"
"255","242","9","Robin Williams","James Taylor","January 23, 1988 (1988-01-23)"
"256","243","10","Carl Weathers","Robbie Robertson","January 30, 1988 (1988-01-30)"
"257","244","11","Justine Bateman","Terence Trent D'Arby","February 13, 1988 (1988-02-13)"
"258","245","12","Tom Hanks","Randy Travis","February 20, 1988 (1988-02-20)"
"259","246","13","Judge Reinhold","10,000 Maniacs","February 27, 1988 (1988-02-27)"
"260","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"261","247","1","Tom Hanks","Keith Richards","October 8, 1988 (1988-10-08)"
"262","248","2","Matthew Broderick","The Sugarcubes","October 15, 1988 (1988-10-15)"
"263","249","3","John Larroquette","Randy NewmanMark Knopfler","October 22, 1988 (1988-10-22)"
"264","250","4","Matthew Modine","Edie Brickell and New Bohemians","November 5, 1988 (1988-11-05)"
"265","251","5","Demi Moore","Johnny Clegg & Savuka","November 12, 1988 (1988-11-12)"
"266","252","6","John Lithgow","Tracy Chapman","November 19, 1988 (1988-11-19)"
"267","253","7","Danny DeVito","The Bangles","December 3, 1988 (1988-12-03)"
"268","254","8","Kevin Kline","Bobby McFerrin","December 10, 1988 (1988-12-10)"
"269","255","9","Melanie Griffith","Little Feat","December 17, 1988 (1988-12-17)"
"270","256","10","John Malkovich","Anita Baker","January 21, 1989 (1989-01-21)"
"271","257","11","Tony Danza","John Hiatt","January 28, 1989 (1989-01-28)"
"272","258","12","Ted Danson","Luther Vandross","February 11, 1989 (1989-02-11)"
"273","259","13","Leslie Nielsen","Cowboy Junkies","February 18, 1989 (1989-02-18)"
"274","260","14","Glenn Close","Gipsy Kings","February 25, 1989 (1989-02-25)"
"275","261","15","Mary Tyler Moore","Elvis Costello","March 25, 1989 (1989-03-25)"
"276","262","16","Mel Gibson","Living Colour","April 1, 1989 (1989-04-01)"
"277","263","17","Dolly Parton","Dolly Parton","April 15, 1989 (1989-04-15)"
"278","264","18","Geena Davis","John Cougar Mellencamp","April 22, 1989 (1989-04-22)"
"279","265","19","Wayne Gretzky","Fine Young Cannibals","May 13, 1989 (1989-05-13)"
"280","266","20","Steve Martin","Tom Petty & the Heartbreakers","May 20, 1989 (1989-05-20)"
"281","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"282","267","1","Bruce Willis","Neil Young","September 30, 1989 (1989-09-30)"
"283","268","2","Rick Moranis","Rickie Lee Jones","October 7, 1989 (1989-10-07)"
"284","269","3","Kathleen Turner","Billy Joel","October 21, 1989 (1989-10-21)"
"285","270","4","James Woods","Don Henley","October 28, 1989 (1989-10-28)"
"286","271","5","Chris Evert","Eurythmics","November 11, 1989 (1989-11-11)"
"287","272","6","Woody Harrelson","David Byrne","November 18, 1989 (1989-11-18)"
"288","273","7","John Goodman","k.d. lang","December 2, 1989 (1989-12-02)"
"289","274","8","Robert Wagner","Linda RonstadtAaron Neville","December 9, 1989 (1989-12-09)"
"290","275","9","Andie MacDowell","Tracy Chapman","December 16, 1989 (1989-12-16)"
"291","276","10","Ed O'Neill","Harry Connick, Jr.","January 13, 1990 (1990-01-13)"
"292","277","11","Christopher Walken","Bonnie Raitt","January 20, 1990 (1990-01-20)"
"293","278","12","Quincy Jones","Tevin Campbell, Kool Moe Dee & Big Daddy Kane","February 10, 1990 (1990-02-10)"
"294","279","13","Tom Hanks","Aerosmith","February 17, 1990 (1990-02-17)"
"295","280","14","Fred Savage","Technotronic","February 24, 1990 (1990-02-24)"
"296","281","15","Rob Lowe","The Pogues","March 17, 1990 (1990-03-17)"
"297","282","16","Debra Winger","Eric Clapton","March 24, 1990 (1990-03-24)"
"298","283","17","Corbin Bernsen","The Smithereens","April 14, 1990 (1990-04-14)"
"299","284","18","Alec Baldwin","The B-52's","April 21, 1990 (1990-04-21)"
"300","285","19","Andrew Dice Clay","Julee Cruise & Spanic Boys","May 12, 1990 (1990-05-12)"
"301","286","20","Candice Bergen","The Notting Hillbillies","May 19, 1990 (1990-05-19)"
"302","No.
overall","No. in
season","Host","Musical guest","Original air date"
"303","287","1","Kyle MacLachlan","Sinéad O'Connor","September 29, 1990 (1990-09-29)"
"304","288","2","Susan Lucci","Hothouse Flowers","October 6, 1990 (1990-10-06)"
"305","289","3","George Steinbrenner","Morris Day & The Time","October 20, 1990 (1990-10-20)"
"306","290","4","Patrick Swayze","Mariah Carey","October 27, 1990 (1990-10-27)"
"307","291","5","Jimmy Smits","World Party","November 10, 1990 (1990-11-10)"
"308","292","6","Dennis Hopper","Paul Simon","November 17, 1990 (1990-11-17)"
"309","293","7","John Goodman","Faith No More","December 1, 1990 (1990-12-01)"
"310","294","8","Tom Hanks","Edie Brickell & New Bohemians","December 8, 1990 (1990-12-08)"
"311","295","9","Dennis Quaid","The Neville Brothers","December 15, 1990 (1990-12-15)"
"312","296","10","Joe Mantegna","Vanilla Ice","January 12, 1991 (1991-01-12)"
"313","297","11","Sting","Sting","January 19, 1991 (1991-01-19)"
"314","298","12","Kevin Bacon","INXS","February 9, 1991 (1991-02-09)"
"315","299","13","Roseanne Barr","Deee-Lite","February 16, 1991 (1991-02-16)"
"316","300","14","Alec Baldwin","Whitney Houston","February 23, 1991 (1991-02-23)"
"317","301","15","Michael J. Fox","The Black Crowes","March 16, 1991 (1991-03-16)"
"318","302","16","Jeremy Irons","Fishbone","March 23, 1991 (1991-03-23)"
"319","303","17","Catherine O'Hara","R.E.M.","April 13, 1991 (1991-04-13)"
"320","304","18","Steven Seagal","Michael Bolton","April 20, 1991 (1991-04-20)"
"321","305","19","Delta Burke","Chris Isaak","May 11, 1991 (1991-05-11)"
"322","306","20","George Wendt","Elvis Costello","May 18, 1991 (1991-05-18)"
"323","No.
overall","No. in
season","Host(s)","Musical guest(s)","Original air date"
"324","307","1","Michael Jordan","Public Enemy","September 28, 1991 (1991-09-28)"
"325","308","2","Jeff Daniels","Color Me Badd","October 5, 1991 (1991-10-05)"
"326","309","3","Kirstie Alley","Tom Petty & The Heartbreakers","October 12, 1991 (1991-10-12)"
"327","310","4","Christian Slater","Bonnie Raitt","October 26, 1991 (1991-10-26)"
"328","311","5","Kiefer Sutherland","Skid Row","November 2, 1991 (1991-11-02)"
"329","312","6","Linda Hamilton","Mariah Carey","November 16, 1991 (1991-11-16)"
"330","313","7","Macaulay Culkin","Tin Machine","November 23, 1991 (1991-11-23)"
"331","314","8","MC Hammer","MC Hammer","December 7, 1991 (1991-12-07)"
"332","315","9","Steve Martin","James Taylor","December 14, 1991 (1991-12-14)"
"333","316","10","Rob Morrow","Nirvana","January 11, 1992 (1992-01-11)"
"334","317","11","Chevy Chase","Robbie RobertsonBruce Hornsby & the Range","January 18, 1992 (1992-01-18)"
"335","318","12","Susan Dey","C&C Music Factory","February 8, 1992 (1992-02-08)"
"336","319","13","Jason Priestley","Teenage Fanclub","February 15, 1992 (1992-02-15)"
"337","320","14","Roseanne ArnoldTom Arnold","Red Hot Chili Peppers","February 22, 1992 (1992-02-22)"
"338","321","15","John Goodman","Garth Brooks","March 14, 1992 (1992-03-14)"
"339","322","16","Mary Stuart Masterson","En Vogue","March 21, 1992 (1992-03-21)"
"340","323","17","Sharon Stone","Pearl Jam","April 11, 1992 (1992-04-11)"
"341","324","18","Jerry Seinfeld","Annie Lennox","April 18, 1992 (1992-04-18)"
"342","325","19","Tom Hanks","Bruce Springsteen","May 9, 1992 (1992-05-09)"
"343","326","20","Woody Harrelson","Vanessa Williams","May 16, 1992 (1992-05-16)"
"344","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"345","327","1","Nicolas Cage","Bobby Brown","September 26, 1992 (1992-09-26)"
"346","328","2","Tim Robbins","Sinéad O'Connor","October 3, 1992 (1992-10-03)"
"347","329","3","Joe Pesci","The Spin Doctors","October 10, 1992 (1992-10-10)"
"348","330","4","Christopher Walken","Arrested Development","October 24, 1992 (1992-10-24)"
"349","331","5","Catherine O'Hara","10,000 Maniacs","October 31, 1992 (1992-10-31)"
"350","332","6","Michael Keaton","Morrissey","November 14, 1992 (1992-11-14)"
"351","333","7","Sinbad","Sade","November 21, 1992 (1992-11-21)"
"352","334","8","Tom Arnold","Neil Young","December 5, 1992 (1992-12-05)"
"353","335","9","Glenn Close","The Black Crowes","December 12, 1992 (1992-12-12)"
"354","336","10","Danny DeVito","Bon Jovi","January 9, 1993 (1993-01-09)"
"355","337","11","Harvey Keitel","Madonna","January 16, 1993 (1993-01-16)"
"356","338","12","Luke Perry","Mick Jagger","February 6, 1993 (1993-02-06)"
"357","339","13","Alec Baldwin","Paul McCartney","February 13, 1993 (1993-02-13)"
"358","340","14","Bill Murray","Sting","February 20, 1993 (1993-02-20)"
"359","341","15","John Goodman","Mary J. Blige","March 13, 1993 (1993-03-13)"
"360","342","16","Miranda Richardson","Soul Asylum","March 20, 1993 (1993-03-20)"
"361","343","17","Jason Alexander","Peter Gabriel","April 10, 1993 (1993-04-10)"
"362","344","18","Kirstie Alley","Lenny Kravitz","April 17, 1993 (1993-04-17)"
"363","345","19","Christina Applegate","Midnight Oil","May 8, 1993 (1993-05-08)"
"364","346","20","Kevin Kline","Willie Nelson & Paul Simon","May 15, 1993 (1993-05-15)"
"365","No.
overall","No. in
season","Host(s)","Musical guest","Original air date"
"366","347","1","Charles Barkley","Nirvana","September 25, 1993 (1993-09-25)"
"367","348","2","Shannen Doherty","Cypress Hill","October 2, 1993 (1993-10-02)"
"368","349","3","Jeff Goldblum","Aerosmith","October 9, 1993 (1993-10-09)"
"369","350","4","John Malkovich","Billy Joel","October 23, 1993 (1993-10-23)"
"370","351","5","Christian Slater","The Smashing Pumpkins","October 30, 1993 (1993-10-30)"
"371","352","6","Rosie O'Donnell","James TaylorDon Grolnick","November 13, 1993 (1993-11-13)"
"372","353","7","Nicole Kidman","Stone Temple Pilots","November 20, 1993 (1993-11-20)"
"373","354","8","Charlton Heston","Paul Westerberg","December 4, 1993 (1993-12-04)"
"374","355","9","Sally Field","Tony! Toni! Toné!Lili Haydn","December 11, 1993 (1993-12-11)"
"375","356","10","Jason Patric","Blind Melon","January 8, 1994 (1994-01-08)"
"376","357","11","Sara Gilbert","Counting Crows","January 15, 1994 (1994-01-15)"
"377","358","12","Patrick Stewart","Salt-N-Pepa","February 5, 1994 (1994-02-05)"
"378","359","13","Alec Baldwin and Kim Basinger","UB40","February 12, 1994 (1994-02-12)"
"379","360","14","Martin Lawrence","Crash Test Dummies","February 19, 1994 (1994-02-19)"
"380","361","15","Nancy Kerrigan","Aretha Franklin","March 12, 1994 (1994-03-12)"
"381","362","16","Helen Hunt","Snoop Doggy Dogg","March 19, 1994 (1994-03-19)"
"382","363","17","Kelsey Grammer","Dwight Yoakam","April 9, 1994 (1994-04-09)"
"383","364","18","Emilio Estevez","Pearl Jam","April 16, 1994 (1994-04-16)"
"384","365","19","John Goodman","The Pretenders","May 7, 1994 (1994-05-07)"
"385","366","20","Heather Locklear","Janet Jackson","May 14, 1994 (1994-05-14)"
"386","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"387","367","1","Steve Martin","Eric Clapton","September 24, 1994 (1994-09-24)"
"388","368","2","Marisa Tomei","Bonnie Raitt","October 1, 1994 (1994-10-01)"
"389","369","3","John Travolta","Seal","October 15, 1994 (1994-10-15)"
"390","370","4","Dana Carvey","Edie Brickell & Paul Simon","October 22, 1994 (1994-10-22)"
"391","371","5","Sarah Jessica Parker","R.E.M.","November 12, 1994 (1994-11-12)"
"392","372","6","John Turturro","Tom Petty","November 19, 1994 (1994-11-19)"
"393","373","7","Roseanne","Green Day","December 3, 1994 (1994-12-03)"
"394","374","8","Alec Baldwin","Beastie Boys","December 10, 1994 (1994-12-10)"
"395","375","9","George Foreman","Hole","December 17, 1994 (1994-12-17)"
"396","376","10","Jeff Daniels","Luscious Jackson","January 14, 1995 (1995-01-14)"
"397","377","11","David Hyde Pierce","Live","January 21, 1995 (1995-01-21)"
"398","378","12","Bob Newhart","Des'ree","February 11, 1995 (1995-02-11)"
"399","379","13","Deion Sanders","Bon Jovi","February 18, 1995 (1995-02-18)"
"400","380","14","George Clooney","The Cranberries","February 25, 1995 (1995-02-25)"
"401","381","15","Paul Reiser","Annie Lennox","March 18, 1995 (1995-03-18)"
"402","382","16","John Goodman","The Tragically Hip","March 25, 1995 (1995-03-25)"
"403","383","17","Damon Wayans","Dionne Farris","April 8, 1995 (1995-04-08)"
"404","384","18","Courteney Cox","Dave Matthews Band","April 15, 1995 (1995-04-15)"
"405","385","19","Bob Saget","TLC","May 6, 1995 (1995-05-06)"
"406","386","20","David Duchovny","Rod Stewart","May 13, 1995 (1995-05-13)"
"407","No.
overall","No. in
season","Host","Musical guest","Original air date"
"408","387","1","Mariel Hemingway","Blues Traveler","September 30, 1995 (1995-09-30)"
"409","388","2","Chevy Chase","Lisa Loeb & Nine Stories","October 7, 1995 (1995-10-07)"
"410","389","3","David Schwimmer","Natalie Merchant","October 21, 1995 (1995-10-21)"
"411","390","4","Gabriel Byrne","Alanis Morissette","October 28, 1995 (1995-10-28)"
"412","391","5","Quentin Tarantino","The Smashing Pumpkins","November 11, 1995 (1995-11-11)"
"413","392","6","Laura Leighton","Rancid","November 18, 1995 (1995-11-18)"
"414","393","7","Anthony Edwards","Foo Fighters","December 2, 1995 (1995-12-02)"
"415","394","8","David Alan Grier","Silverchair","December 9, 1995 (1995-12-09)"
"416","395","9","Madeline Kahn","Bush","December 16, 1995 (1995-12-16)"
"417","396","10","Christopher Walken","Joan Osborne","January 13, 1996 (1996-01-13)"
"418","397","11","Alec Baldwin","Tori Amos","January 20, 1996 (1996-01-20)"
"419","398","12","Danny Aiello","Coolio","February 10, 1996 (1996-02-10)"
"420","399","13","Tom Arnold","Tupac Shakur","February 17, 1996 (1996-02-17)"
"421","400","14","Elle Macpherson","Sting","February 24, 1996 (1996-02-24)"
"422","401","15","John Goodman","Everclear","March 16, 1996 (1996-03-16)"
"423","402","16","Phil Hartman","Gin Blossoms","March 23, 1996 (1996-03-23)"
"424","403","17","Steve Forbes","Rage Against the Machine","April 13, 1996 (1996-04-13)"
"425","404","18","Teri Hatcher","Dave Matthews Band","April 20, 1996 (1996-04-20)"
"426","405","19","Christine Baranski","The Cure","May 11, 1996 (1996-05-11)"
"427","406","20","Jim Carrey","Soundgarden","May 18, 1996 (1996-05-18)"
"428","No.
overall","No. in
season","Host","Musical guest","Original air date"
"429","407","1","Tom Hanks","Tom Petty & the Heartbreakers","September 28, 1996 (1996-09-28)"
"430","408","2","Lisa Kudrow","Sheryl Crow","October 5, 1996 (1996-10-05)"
"431","409","3","Bill Pullman","New Edition","October 19, 1996 (1996-10-19)"
"432","410","4","Dana Carvey","Dr. Dre","October 26, 1996 (1996-10-26)"
"433","411","5","Chris Rock","The Wallflowers","November 2, 1996 (1996-11-02)"
"434","412","6","Robert Downey, Jr.","Fiona Apple","November 16, 1996 (1996-11-16)"
"435","413","7","Phil Hartman","Bush","November 23, 1996 (1996-11-23)"
"436","414","8","Martin Short","No Doubt","December 7, 1996 (1996-12-07)"
"437","415","9","Rosie O'Donnell","Whitney Houston","December 14, 1996 (1996-12-14)"
"438","416","10","Kevin Spacey","Beck","January 11, 1997 (1997-01-11)"
"439","417","11","David Alan Grier","Snoop Doggy Dogg","January 18, 1997 (1997-01-18)"
"440","418","12","Neve Campbell","David Bowie","February 8, 1997 (1997-02-08)"
"441","419","13","Chevy Chase","Live","February 15, 1997 (1997-02-15)"
"442","420","14","Alec Baldwin","Tina Turner","February 22, 1997 (1997-02-22)"
"443","421","15","Sting","Veruca Salt","March 15, 1997 (1997-03-15)"
"444","422","16","Mike Myers","Aerosmith","March 22, 1997 (1997-03-22)"
"445","423","17","Rob Lowe","Spice Girls","April 12, 1997 (1997-04-12)"
"446","424","18","Pamela Anderson","Rollins Band","April 19, 1997 (1997-04-19)"
"447","425","19","John Goodman","Jewel","May 10, 1997 (1997-05-10)"
"448","426","20","Jeff Goldblum","En Vogue","May 17, 1997 (1997-05-17)"
"449","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"450","427","1","Sylvester Stallone","Jamiroquai","September 27, 1997 (1997-09-27)"
"451","428","2","Matthew Perry","Oasis","October 4, 1997 (1997-10-04)"
"452","429","3","Brendan Fraser","Björk","October 18, 1997 (1997-10-18)"
"453","430","4","Chris Farley","The Mighty Mighty Bosstones","October 25, 1997 (1997-10-25)"
"454","431","5","Jon Lovitz","Jane's Addiction","November 8, 1997 (1997-11-08)"
"455","432","6","Claire Danes","Mariah Carey","November 15, 1997 (1997-11-15)"
"456","433","7","Rudolph Giuliani","Sarah McLachlan","November 22, 1997 (1997-11-22)"
"457","434","8","Nathan Lane","Metallica & Marianne Faithfull","December 6, 1997 (1997-12-06)"
"458","435","9","Helen Hunt","Hanson","December 13, 1997 (1997-12-13)"
"459","436","10","Samuel L. Jackson","Ben Folds Five","January 10, 1998 (1998-01-10)"
"460","437","11","Sarah Michelle Gellar","Portishead","January 17, 1998 (1998-01-17)"
"461","438","12","John Goodman","Paula Cole","February 7, 1998 (1998-02-07)"
"462","439","13","Roma Downey","Missy Misdemeanor Elliott","February 14, 1998 (1998-02-14)"
"463","440","14","Garth Brooks","Garth Brooks","February 28, 1998 (1998-02-28)"
"464","441","15","Scott Wolf","Natalie Imbruglia","March 7, 1998 (1998-03-07)"
"465","442","16","Julianne Moore","Backstreet Boys","March 14, 1998 (1998-03-14)"
"466","443","17","Steve Buscemi","Third Eye Blind","April 4, 1998 (1998-04-04)"
"467","444","18","Greg Kinnear","All Saints","April 11, 1998 (1998-04-11)"
"468","445","19","Matthew Broderick","Natalie Merchant","May 2, 1998 (1998-05-02)"
"469","446","20","David Duchovny","Puff DaddyJimmy Page","May 9, 1998 (1998-05-09)"
"470","No.
overall","No. in
season","Host","Musical guest(s)","Original air date"
"471","447","1","Cameron Diaz","The Smashing Pumpkins","September 26, 1998 (1998-09-26)"
"472","448","2","Kelsey Grammer","Sheryl Crow","October 3, 1998 (1998-10-03)"
"473","449","3","Lucy Lawless","Elliott Smith","October 17, 1998 (1998-10-17)"
"474","450","4","Ben Stiller","Alanis Morissette","October 24, 1998 (1998-10-24)"
"475","451","5","David Spade","Eagle-Eye Cherry","November 7, 1998 (1998-11-07)"
"476","452","6","Joan Allen","Jewel","November 14, 1998 (1998-11-14)"
"477","453","7","Jennifer Love Hewitt","Beastie Boys","November 21, 1998 (1998-11-21)"
"478","454","8","Vince Vaughn","Lauryn Hill","December 5, 1998 (1998-12-05)"
"479","455","9","Alec Baldwin","Luciano PavarottiVanessa WilliamsPhiladelphia Boys Choir & Chorale","December 12, 1998 (1998-12-12)"
"480","456","10","Bill Paxton","Beck","January 9, 1999 (1999-01-09)"
"481","457","11","James Van Der Beek","Everlast","January 16, 1999 (1999-01-16)"
"482","458","12","Gwyneth Paltrow","Barenaked Ladies","February 6, 1999 (1999-02-06)"
"483","459","13","Brendan Fraser","Busta RhymesThe Roots","February 13, 1999 (1999-02-13)"
"484","460","14","Bill Murray","Lucinda Williams","February 20, 1999 (1999-02-20)"
"485","461","15","Ray Romano","The Corrs","March 13, 1999 (1999-03-13)"
"486","462","16","Drew Barrymore","Garbage","March 20, 1999 (1999-03-20)"
